experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_109,35,0.9458695510710903,0.936734693877551,0.16792696576204993,45,47.787622928619385,1.0619471761915418,"[64, 32]",relu,0.2,False,adam,0.001,100,32,0.0
unified_grid,config_25,21,0.9458017356806481,0.936734693877551,0.16543598240241408,31,16.607707023620605,0.5357324846329228,"[128, 64]",gelu,0.0,False,adamw,0.001,100,64,0.0
unified_grid,config_24,37,0.9455768499998605,0.936734693877551,0.16559525253251195,47,26.17247200012207,0.556861106385576,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0005
unified_grid,config_147,53,0.9434849578281155,0.936734693877551,0.17288247760265105,63,52.93538498878479,0.8402442061711871,[32],tanh,0.0,False,adam,0.0005,100,32,0.0
unified_grid,config_144,40,0.9451038088060544,0.936734693877551,0.17035155929625034,50,13.726684093475342,0.27453368186950683,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,128,0.0
unified_grid,config_124,18,0.9437101088651826,0.9357142857142857,0.1742440788075328,28,9.143189907073975,0.3265424966812134,"[128, 64]",relu,0.0,False,adam,0.0005,100,128,0.0
unified_grid,config_158,40,0.9428191439628356,0.9357142857142857,0.1756320921704173,50,12.71403694152832,0.2542807388305664,[64],tanh,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_14,38,0.9442634057258622,0.9357142857142857,0.1698621022514999,48,26.266011953353882,0.5472085823615392,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,1e-05
unified_grid,config_46,26,0.9432004430517101,0.9357142857142857,0.16428015567362309,36,20.017587900161743,0.5560441083378262,"[128, 64]",gelu,0.2,False,adamw,0.0005,100,64,1e-05
unified_grid,config_166,40,0.9421150897156882,0.9357142857142857,0.17417842335999012,50,12.461053133010864,0.2492210626602173,[64],tanh,0.0,False,rmsprop,0.001,100,128,0.0
unified_grid,config_153,34,0.9443913402574674,0.9357142857142857,0.171706885279667,44,36.463210105895996,0.8287093205885454,[32],tanh,0.0,False,rmsprop,0.001,100,32,0.0
unified_grid,config_151,51,0.9438559545933732,0.9357142857142857,0.17357858048091013,61,50.51217579841614,0.8280684557117399,[32],tanh,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_89,56,0.9442533304046353,0.9357142857142857,0.17195651788384683,66,60.96837401390076,0.92376324263486,[16],relu,0.2,False,adamw,0.001,100,32,0.0
unified_grid,config_8,35,0.9442351253354498,0.9357142857142857,0.1659693019464612,45,23.423876762390137,0.5205305947197808,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0005
unified_grid,config_110,65,0.9446681635090801,0.9357142857142857,0.1674801968038082,75,22.291712045669556,0.29722282727559407,"[64, 32]",relu,0.2,False,adam,0.001,100,128,0.0
unified_grid,config_146,81,0.9421955085665197,0.9357142857142857,0.1748071312904358,91,22.18669581413269,0.24380984411134823,[32],tanh,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_116,36,0.941968939747528,0.9357142857142857,0.17508586589246988,46,13.672414064407349,0.29722639270450757,"[64, 32]",relu,0.2,False,adamw,0.0005,100,128,0.0
unified_grid,config_174,32,0.9426829545987508,0.9357142857142857,0.17178200371563435,42,11.646203994750977,0.2772905713035947,"[128, 64]",tanh,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_29,21,0.944189003717127,0.9357142857142857,0.1629060353152454,31,16.942652225494385,0.546537168564335,"[128, 64]",gelu,0.0,False,adamw,0.0005,100,64,0.0
unified_grid,config_77,31,0.943458478639894,0.9357142857142857,0.1699899542596071,41,35.53284192085266,0.8666546809964064,[16],relu,0.0,False,adamw,0.001,100,32,0.0
unified_grid,config_78,81,0.9420084565850354,0.9357142857142857,0.1779411332681775,91,21.52366805076599,0.2365238247336922,[16],relu,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_98,18,0.9434315123020323,0.9357142857142857,0.17274069227278233,28,9.04403829574585,0.32300136770520893,"[64, 32]",relu,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_5,42,0.9437086026251309,0.9357142857142857,0.16574277682229877,52,26.738695859909058,0.5142056896136358,"[64, 32]",gelu,0.0,False,adamw,0.0005,100,64,0.0
unified_grid,config_59,62,0.9395141080251862,0.9346938775510204,0.19381845610276346,72,58.9742169380188,0.8190863463613722,[8],relu,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_79,96,0.9428944192425341,0.9346938775510204,0.1735364083320864,100,83.65125012397766,0.8365125012397766,[16],relu,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_63,95,0.9395310597329157,0.9346938775510204,0.22441346895310185,100,90.58007907867432,0.9058007907867431,[8],relu,0.2,False,adam,0.0005,100,32,0.0
unified_grid,config_87,99,0.9413072777477464,0.9346938775510204,0.1825601069196578,100,88.29980206489563,0.8829980206489563,[16],relu,0.2,False,adam,0.0005,100,32,0.0
unified_grid,config_128,33,0.9412035486902678,0.9346938775510204,0.17103975638747215,43,12.1632080078125,0.28286530250726744,"[128, 64]",relu,0.0,False,adamw,0.0005,100,128,0.0
unified_grid,config_55,74,0.9428497132266658,0.9346938775510204,0.17303861653612507,84,70.50072908401489,0.8392943938573202,[8],relu,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_92,100,0.9415142203531375,0.9346938775510204,0.1903735250234604,100,24.927143812179565,0.24927143812179564,[16],relu,0.2,False,adamw,0.0005,100,128,0.0
unified_grid,config_75,52,0.9424371640559935,0.9346938775510204,0.1795921146028465,62,54.02109384536743,0.8713079652478618,[16],relu,0.0,False,adam,0.0005,100,32,0.0
unified_grid,config_126,38,0.9410105764471987,0.9346938775510204,0.16734819300472736,48,13.578498125076294,0.2828853776057561,"[128, 64]",relu,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_51,37,0.9399548159219098,0.9346938775510204,0.1873123988268837,47,41.313807249069214,0.8790171755121109,[8],relu,0.0,False,adam,0.0005,100,32,0.0
unified_grid,config_73,27,0.9416534392845138,0.9346938775510204,0.17686030088413146,37,34.052788972854614,0.9203456479149896,[16],relu,0.0,False,adam,0.001,100,32,0.0
