experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_169,9,0.9447814545705173,0.9377551020408164,19,18.892133235931396,0.9943228018911261,"[128, 64]",tanh,0.0,False,adam,0.001,100,32
full_grid,config_105,11,0.9447493938080784,0.9346938775510204,21,19.371872186660767,0.9224701041267032,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_184,15,0.9447364852477413,0.939795918367347,25,8.388570070266724,0.33554280281066895,"[128, 64]",tanh,0.2,False,adam,0.0005,100,128
full_grid,config_53,14,0.9447099818908011,0.936734693877551,24,18.080453157424927,0.7533522148927053,[64],relu,0.0,False,adamw,0.001,100,32
full_grid,config_56,41,0.9446468987392473,0.9357142857142857,51,11.150829076766968,0.2186437073875876,[64],relu,0.0,False,adamw,0.0005,100,128
full_grid,config_116,29,0.9446197912031169,0.9387755102040817,39,10.095125913619995,0.2588493824005127,"[64, 32]",relu,0.2,False,adamw,0.0005,100,128
full_grid,config_186,14,0.9445475296715596,0.9387755102040817,24,7.241225957870483,0.30171774824460346,"[128, 64]",tanh,0.2,False,adamw,0.001,100,128
full_grid,config_111,18,0.9445156230399997,0.9377551020408164,28,27.0485520362854,0.9660197155816215,"[64, 32]",relu,0.2,False,adam,0.0005,100,32
full_grid,config_78,15,0.9444429088712829,0.9387755102040817,25,6.782773017883301,0.271310920715332,[64],tanh,0.0,False,adamw,0.001,100,128
full_grid,config_124,10,0.9444353952002379,0.9387755102040817,20,5.787178039550781,0.28935890197753905,"[64, 32]",tanh,0.0,False,adam,0.0005,100,128
full_grid,config_67,10,0.9443926907345495,0.9387755102040817,20,15.595721006393433,0.7797860503196716,[64],relu,0.2,False,adamw,0.0005,100,32
full_grid,config_129,13,0.9443592956899894,0.9357142857142857,23,20.887202978134155,0.9081392599188763,"[64, 32]",tanh,0.0,False,rmsprop,0.001,100,32
full_grid,config_87,19,0.9443186002038715,0.9387755102040817,29,23.19176197052002,0.7997159300179317,[64],tanh,0.2,False,adam,0.0005,100,32
